"runID","numCenters","SSE","lambda"
"41",10,18.9642113433383,"150"
"42",1,59.800433558709,"30"
"42",2,50.6648924794321,"30"
"42",3,43.7156073850405,"30"
"42",4,37.8374419854777,"30"
"42",5,32.7079257075101,"30"
"42",6,27.664156692544,"30"
"42",7,26.0023517682657,"30"
"42",8,24.3850930908317,"30"
"42",9,23.0313223010926,"30"
"42",10,21.8077431033018,"30"
"43",1,61.4890229548212,"0"
"43",2,52.7528975165125,"0"
"43",3,46.5887948407096,"0"
"43",4,41.5079043234193,"0"
"43",5,37.2197326283675,"0"
"43",6,33.7007655602612,"0"
"43",7,31.7031055256983,"0"
"43",8,29.8280532872519,"0"
"43",9,28.0169874847804,"0"
"43",10,26.3295060664026,"0"
"51",1,80.5746844734186,"150"
"51",2,60.1342307702595,"150"
"51",3,47.3475047899645,"150"
"51",4,36.9721182610345,"150"
"51",5,27.7408837268988,"150"
"51",6,21.1370076312168,"150"
"51",7,19.5779537007236,"150"
"51",8,18.4049586715704,"150"
"51",9,17.5865386258159,"150"
"51",10,16.9198912740412,"150"
"52",1,61.8427634133947,"30"
"52",2,51.3251049584256,"30"
"52",3,42.1354619751687,"30"
"52",4,33.9652681925362,"30"
"52",5,28.0527489831738,"30"
"52",6,23.5062067975787,"30"
"52",7,22.2913158695748,"30"
"52",8,21.1588174627666,"30"
"52",9,20.1358954856743,"30"
"52",10,19.1384612203139,"30"
"53",1,61.7073475311954,"0"
"53",2,51.267822652822,"0"
"53",3,44.6982664718843,"0"
"53",4,39.4419143648499,"0"
"53",5,35.8955079761535,"0"
"53",6,32.9283195520491,"0"
"53",7,30.8644567897324,"0"
"53",8,28.8632272910828,"0"
"53",9,27.3418701187932,"0"
"53",10,25.9999797858954,"0"
"61",1,70.2871841167235,"150"
"61",2,54.9757534890842,"150"
"61",3,42.4470918171444,"150"
"61",4,34.2962463719706,"150"
"61",5,26.8696448909243,"150"
"61",6,20.5547535686204,"150"
"61",7,19.4240528768972,"150"
"61",8,18.3653354344597,"150"
"61",9,17.4726721356658,"150"
"61",10,16.5864287670263,"150"
"62",1,57.3137595762339,"30"
"62",2,47.6004602853064,"30"
"62",3,40.1522174599834,"30"
"62",4,34.0264921797794,"30"
"62",5,30.5970173095371,"30"
"62",6,27.6168574202563,"30"
"62",7,26.3731580579949,"30"
"62",8,25.1309475258395,"30"
"62",9,23.9514249731647,"30"
"62",10,22.8354532084443,"30"
"63",1,61.4519644711964,"0"
"63",2,53.3648321690687,"0"
"63",3,46.5731022610585,"0"
"63",4,41.4807248949567,"0"
"63",5,37.8783651091673,"0"
"63",6,34.5661860765513,"0"
"63",7,32.7249954002872,"0"
"63",8,31.1646956464339,"0"
"63",9,29.6822620866651,"0"
