"M","lambda","meanOrder","meanOver","lambdaOverM","fitCurve"
200,50,27,0.669527795525007,0.25,0.221199216928595
40,100,27,0.999994104445755,2.5,0.917915001376101
120,100,27,0.869707323157223,0.833333333333333,0.565401791492922
200,100,27,0.806925424910769,0.5,0.393469340287367
40,150,27,1,3.75,0.976482254143991
120,150,27,0.939351095057781,1.25,0.71349520313981
200,150,27,0.858304772778299,0.75,0.527633447258985
40,200,27,0.999972554854085,5,0.993262053000915
120,200,27,0.984366578960234,1.66666666666667,0.811124397162438
200,200,27,0.918780115420444,1,0.632120558828558
40,0,39,0.639737648122058,0,0
120,0,39,0.581809575985086,0,0
200,0,39,0.585905190712979,0,0
40,50,39,0.959738140829569,1.25,0.71349520313981
120,50,39,0.753346405779004,0.416666666666667,0.340759369799556
200,50,39,0.719287005845171,0.25,0.221199216928595
40,100,39,0.999996538180545,2.5,0.917915001376101
120,100,39,0.900719774734,0.833333333333333,0.565401791492922
200,100,39,0.764009834689555,0.5,0.393469340287367
40,150,39,0.999993679045011,3.75,0.976482254143991
120,150,39,0.931192309155547,1.25,0.71349520313981
200,150,39,0.874091074681777,0.75,0.527633447258985
40,200,39,1,5,0.993262053000915
120,200,39,0.984563043922018,1.66666666666667,0.811124397162438
200,200,39,0.907004349309838,1,0.632120558828558
